Name,Class,Pos,HT,WT,Pts,Rebs,Asts,Transferring From,
Kevin Rostamian,RS SO,C,6-8,270,--,--,--, Florida Atlantic ,
Troy Holston,RS JR,SG,6-4,200,--,--,--, South Florida ,
Julian Richardson,SR,SG,6-3,180,--,--,--, Cal State Northridge ,
Reid Travis,RS JR,PF,6-8,245,19.5,8.7,1.3, Stanford ,
Christian Mekowulu,RS JR,C,6-9,245,12.7,7.9,0.9, Tennessee State ,
Kevin Scott,RS SR,SG,6-3,210,12.6,4,3, Texas Southern ,
Jadon Cohee,RS JR,PG,6-4,205,12.6,2.5,3.1, Southern Utah ,
Marcel Pettway,RS JR,PF,6-5,250,10.3,6.5,1.5, Bryant ,
Lyrik Shreiner,RS SO,SG,6-3,190,9,4.7,2, Cal State Northridge ,
Jontrell Walker,RS JR,PG,6-1,185,7.9,1.3,2.1, Ball State ,
Cheddi Mosely,RS SR,SG,6-3,195,7.5,3,0.5, Boston ,
Josh Martin,RS JR,PF,6-7,220,7.4,5,1.3, Cal Poly ,
Wil Barthurst,SR,PG,6-3,185,7.1,3.6,3.1, Cornell ,
Perris Hicks,SR,PG,6-1,180,7.1,1.2,1, Fordham ,
Julian Walters,RS SR,PG,5-10,175,6.7,4.5,3.6, Alabama A&M ,
Jalyn Patterson,RS SR,PG,6-1,190,5.8,3,3, LSU ,
Dion Wiley,RS JR,SG,6-4,210,5.8,1.8,0.7, Maryland ,
Dondre Duffus,SR,SG,6-3,180,5.7,1.7,1, Southeast Missouri ,
Gavin Peppers,RS JR,PG,6-2,180,5.2,1.2,1.2, Central Michigan ,
Eddie Davis,RS SO,PF,6-7,245,5,2.1,0.5, Southern Miss ,
Rayshawn Miller,JR,PG,6-1,185,5,1.6,1.9, UMass ,
Dontel Highsmith,RS JR,SG,6-2,200,4.9,2.2,1.1, Cleveland State ,
Andre Wallace,SR,SG,6-1,200,4.7,1.5,1.1, South Dakota State ,
Chaz Glotta,RS JR,SG,6-2,170,4.4,0.8,0.7, Northen Colorado ,
Chancellor Barnard,RS SR,SF,6-4,185,4.3,2.8,0.6, Loyola (MD) ,
Jason Massey,SR,SF,6-4,220,3.6,2.6,0.5, Brown ,
Koh Flippin,RS JR,SG,6-2,165,3.4,1.6,1.2, UC Riverside ,
Jalen Morgan,RS JR,PF,6-8,205,3.2,2.2,0.4, Western Illinois ,
Jeremy Combs,RS JR,PF,6-7,215,3,2,0.7, LSU ,
Deion Lavender,RS JR,SG,6-2,190,2.8,1.9,1.4, UAB ,
Terry Harris,RS JR,SF,6-6,215,2.7,0.9,0.4, Eastern Michigan ,
Ryan Johnson,RS JR,SF,6-5,190,2.3,1.3,0.4, Mercer ,
Kiir Deng,RS JR,PF,6-9,195,1.9,2.2,0.2, Louisiana-Monroe ,
Jafar Kinsey,RS JR,PG,6-2,185,1.9,1,0.4, North Dakota ,
Jay Harvey,RS JR,PF,6-9,245,1.8,3.1,0.1, Florida International ,
Khalen Pinkett,RS JR,PG,6-0,175,1.5,0.9,0.7, Savannah State ,
Major Canady,SR,SG,6-4,215,1.4,1.1,1.4, Drexel ,
Alex Ennis,RS JR,C,6-10,225,1.3,2.2,0.1, Morgan State ,
Otas Iyekekpolor,RS JR,PF,6-8,220,1.3,1.2,0.1, Central Arkansas ,
Kerwin Smith,RS JR,PF,6-9,220,1.2,1.1,0.2, Grand Canyon ,
Max Tinsley,JR,SG,6-2,170,1,0.4,0.2, Pacific ,
Johnnie Vassar,SR,PG,6-0,180,0.8,0.4,0.4, Northwestern ,
Valentine Sangoyomi,RS JR,C,6-8,240,0.6,1.2,0.2, Houston ,
Ryan Hiepler,RS JR,SG,6-0,180,0.6,0.4,0.3, Liberty Dominican (CA) ,
Dan Dwyer,RS SR,PF,6-8,220,0.5,0.9,0.5, Penn ,
Ibrahim Sylla,RS JR,C,6-8,220,0.5,0.9,0, Northern Colorado ,
Ellis Dozier,RS SO,PF,6-8,220,0.5,0.4,0, Ohio ,
Devenir Duruisseau,JR,PF,6-8,225,0.4,0.9,0.1, Washington ,
Samson Oyedrian,RS JR,SF,6-7,220,0.4,1.1,0.2, Tennessee State ,
Alex Mills,RS JR,SG,6-1,185,0.4,0.1,0, North Carolina Central ,
Braedon Bayer,RS JR,SG,6-4,190,0.2,0.4,0, Syracuse ,
Henry Beard,RS SO,PG,6-0,175,0.1,0.2,0.1, South Florida ,
Spencer Newman*,RS FR,SG,6-3,185,0,0.7,0,NC State ,*with Waiver 
Brandon Chauca,RS JR,PG,5-9,160,0,0,0, California ,
Armani Branch,RS JR,SF/PF,6-6,205,0,1,0, VMI Norfolk State ,
Marek Hulva,RS SO,C,6-9,230,0,0.2,0, Incarnate Word ,
Keoni Walington,RS SO,PG,5-11,180,0,0,0, Longwood ,
